task_id,query,types,revised_types
37,Is there any route between the flooded houses?,D,
38,Is it true that no cars are present within a 10-meter radius of the non-flooded house? GSD = 0.015 m/px,M1,
39,"Considering the dimension of 4592x3072, which side, left or right, has more flooded houses?",M2,
40,"Expanding the area of 10m around red car, how many cars are there and are they in water? GSD = 0.015 m/px",D+M1+M2,
41,The largest non-flooded house is in the northwest corner of the image?,D,
42,The 'longest white car' can go to the northwest house in the image?,D,
43,Are all the non-flooded houses in the image in the same area?,D,
44,Do all the swimming pools have the same size? GSD = 0.015 m/px,M1,
45,"Considering the dimension of 4592x3072, which quadrant has more cars?",M2,
46,The non-flooded house is in the southwest corner of the image?,D,
47,"Considering the dimension of 4592x3072, which half, upper or lower, has more swimming pools?",M2,
48,Plot the areas of each of the swimming pools. GSD = 0.015 m/px,M1,
49,The largest house in flood has any car within 10m radius of the house? GSD = 0.015 m/px,M1,
50,"Among the minor damaged buildings, which one is the largest?",D,
51,How far are the major damaged buildings from each other? GSD 2.07/px.,M1,
52,Plot areas of each destroyed buildings in the image. GSD 1.73m/px.,M1,
53,Is there any damaged building near the 100m radius of no-damage building using gsd 1.74m/px?,M1,
54,Please describe the image by telling the number of destroyed buildings.,M2,
55,Is there any house with swimming pool are majorly-damaged?,D,
56,Are all the no-damage buildings in the northeast position on the image?,D,
57,What is the distance between the largest destroyed building and the smallest destroyed building? GSD 1.25m/px.,M1,
58,Can you plot the ratio of destroyed buildings to major-damage buildings in the image?,M2,
59,Can you check if major damaged buildings are more in numbers than destroyed buildings?,M2,
60,Describe the image by telling the number of destroyed buildings.,M2,
61,Draw a box around the largest destroyed building in the image.,D,
62,"In the given image, can you tell how many percentage of the buildings are destroyed out of total buildings?",M2,
63,What is the distance between the two destroyed buildings in the image? GSD 1.88m/px.,M1,
64,"Given dimensions of image, 1024x1024, Divide the image into 4 quadrants zone and tell which zone has more destroyed buildings, example top-left.",M2,
65,"Is it true that around the 200m radius of no-damage building, there are no destroyed buildings? gsd 1.88m/px.",M1,
66,Is there any damaged building between the no-damage buildings?,D,
67,What is the average area of all the no-damage buildings in the image? GSD 1.88m/px.,M1,
68,How many buildings are destroyed between the area of no-damage buildings?,M2,
69,Please tell which year santa-rosa wildfire happened and share count of building with their status in this image.,D+M2,
70,"Plot by calculating percentage per classes of no-damage, destroyed, and major damaged buildings in the image.",M2,
71,"Detect all buildings that look minor damage, and is there any path or road between them.",D,
72,"In this image, which type of disaster activity is depicted, and in which direction (with respect to north), more damage is seen?",D,
73,"Detect the building that is near to volcanic mud activity, is it damaged or no-damage?",D,
74,"Detect the houses on the upper side of road, are these looking damaged?",D,
75,"Locate the house near to highway, and due to hurricane activity, is this house damaged?",D,
76,"Identify the landcover types, and assess disaster type and count visible human made buildings.",D+M2,
77,"How much area is majorly damaged, while counting the buildings in the image, GSD 2.1m/px",M1+M2,
78,"Due to hurricane, how much buildings are affected on right and left sides of road, plot the distribution.",M2,
79,Locate every damaged building visible in the scene and draw boxes on it.,D,
80,Locate the largest damaged building and draw box over it.,D,
81,Count number of buildings damaged due to hurricane-florence in Carolina in this image. Also estimate the total damage cost based on average house unit price.,M2,
82,Locate the damaged building with white rooftop and draw box over it.,D,
83,Locate largest building damaged due to hurricane-harvey. Is there playground present in flood water around the building?,D,
84,How many buildings are flooded? Locate the building near to road visible in the image.,D+M2,
85,"Identify two damaged buildings with white rooftop, and estimate distance between them. Using GSD 3.02px/m.",M1,
86,Detect the damaged building on right side of road and draw box over it.,D,
87,Identify the buildings that were not damaged by Hurricane Harvey. Is it true that at least one of these buildings has no cars parked outside?,D,
88,Detect building with red rooftop near waterbody. Is this building damaged?,D,
89,"Detect the damaged building in the image, located near road and draw box over it?",D,
90,"Estimate the damaged buildings distance from the road (709, 258). GSD 2.07m/px.",M1,
91,Can you draw a box around the car that is parked at a different angle or incorrectly compared to the others?,D,
92,What is the color of the smallest car in the image?,D,
93,How many vehicles are heading in the same direction?,M2,
94,How many cars are parked within a 50-meter radius of the building using gsd 1.1033?,M1+M2,
95,"Based on the area each car occupies, do they appear to be the same model?",D,
96,"Can you write on image, the distance between each car in meter using gsd: 1.0686",M1,
97,How many white cars are there in the image and are they all heading in the different direction?,D+M2,
98,"If we expand a 20-meter area around each car, how many of them are parked within white-marked boxes? (gsd: 1.4326)",M1+M2,
99,How many cars are touching or overlapping the yellow road line?,M2,
100,How many cars are moving in a southeast direction?,M2,
101,Can you describe the image and count the vehicles to determine if there's traffic on the road?,D+M2,
102,How many cars are parked facing northeast and how many are facing southwest?,M2,
103,Can you create a bar chart showing the number of available versus occupied parking spots?,M2,
104,"Are the parked cars spaced evenly, or is there variation in the distances between them?",D,
105,"According to Google, what is the recommended safe distance between cars and do the cars in this image maintain that distance using gsd 0.9067?",M1,
106,Can you check if there's anyone currently in the swimming pool?,D,
107,Is there a house located within 50 meters of the red car using GSD 0.9666?,M1,
108,Can you draw bounding boxes around the two cars that are farthest apart from each other?,D,
109,"Based on the cars' directions, can you plot a bar chart showing the number of cars heading in each direction?",M2,
110,"Using GSD, what's the average surface area covered by the houses in the image? (gsd 1.4498)",M1,
111,Can you add the word 'left' in white color right after the word 'only'?,D,
112,Is there any other car moving in the same direction as the red truck?,D,
113,Can you check how close the blue trucks are to each other using gsd 1.61175?,M1,
114,"What is the distance between the cars traveling on the southbound road, using GSD 1.6310?",M1,
115,Is the red car positioned too close to the white car?,D,
116,Can you tell average area of the cars in the image using GSD 1.71660685?,M1,
117,How many cars are within 20 meters of the truck (gsd = 1.71660)?,M1+M2,
118,Can you draw bounding boxes around the two cars that are closest to each other?,D,
119,Is there any car traveling southbound on the road?,D,
120,How many cars are moving northwest in the image?,M2,
121,How many cars are there and are all of them traveling in the southwest direction?,D+M2,
122,Can you plot a distribution chart comparing the number of cars and trucks in the image?,M2,
123,"What is the area of the swimming pool in the image, based on ground sample distance of 1.6958243?",M1,
124,"Considering the dimension of image as 1280x685, which half of the image 'left or right' has more cars?",M2,
125,Can you describe what's happening in this image and count the number of cars?,D+M2,
126,Can you plot a color distribution chart for all the cars in the image?,D,
127,"Can the red car safely switch lanes given a clear 200-meter radius? If not, please share how many vehicles are nearby. (gsd 0.94756464)?",M1+M2,
128,"Assuming each house has a parking spot in the image, how many free parking spots are available?",M2,
129,"Based on the orientation of the vehicles, how many distinct roads are there?",M2,
130,How many cars are parked within a 50-meter perimeter around the house using gsd 1.29325097?,M1+M2,
131,How many cars are currently on the road in this image?,M2,
132,what's the distance between the orange excavators using gsd 0.9?,M1,
133,"Considering the dimension of the image as 1372x941, which quadrant of the image contains the most cars if we divide it into four equal rectangles?",M2,
134,"Detect and count all aircraft in the scene, draw bounding boxes around each one.",D+M2,
135,Are all of the planes in same direction?,D,
136,Locate and estimate the distance between aircrafts in the scene. Assuming GSD 1.5px/meter,M1,
137,"How many aircraft are parked at the terminal apron, and what are their color attributes? Are they have same color?",D+M2,
138,"Extract the visible runway number, and determine planes present on that runway.",D,
139,"Identify the plane that is parked on terminal gate and heading towards north, draw box on it.",D,
140,Out of all planes head towards east belong to same categories?,D,
141,"Detect planes with red body (fuselage), and compute distance between them, assuming GSD 1.5m/px.",M1,
142,"Detect the planes on the runway, and are they on the same runway?",D,
143,"Identify destroyed buildings in the image and compute average area in square meters, assuming a ground sampling distance (GSD) of 0.5 meters/pixel. Finally, annotate the image with this average area value.",M1,
144,"First, identify if there is a destroyed building in the image. Then, if found, check whether any road lies within 30 meters of it, based on a GSD of 0.5 meters per pixel.",M1,
145,"Locate the destroyed area and describe the physical characteristics (color, and structure) of the building located inside the box, GSD 0.5m/px",D,
146,Locate the destroyed building and describe whether is it fully collapsed or partially collapsed,D,
147,Identify the destroyed building and draw box on each of them,D,
148,Identify the destroyed building and estimate the ratio of partially destroyed and fully destroyed,M2,
149,"Out of all destroed buildings, locate the least destroed and draw box over it",D,
150,Assess the level of symmetry in the damage pattern between the two buildings. Are they similarly affected?,D,
151,Analyze the destruction and identify what is most impacted in the west.,D,
152,Detect the largest destroyed building and draw box over it,D,
153,"Detect the houses around the cul-de-sac, draw the box on each of the house.",D,
154,Count the total distance between two zebra crossing using GSD 0.7 m/px.,M1,
155,Determine the parking spaces including the occupied spots.,M2,
156,Detect the house near to red car. How many other car are next to red car?,D+M2,
157,Is there any car inside the cul-de-sac? Detect the nearest house to the car.,D,
158,Estimate the count of cars going northeast and southwest on the bridge.,M2,
159,Is there any red car on the bridge and is it maintaining a safe distance from the car in front of it? Cars moving at 70mph need to be at least 63 metres (threshold) behind the vehicle in front to achieve a safe 2 second overall stopping distance. Assume the GSD is 0.8m/px.,M1,
160,Identify which tank is closest to the central pumping house and estimate its diameter assuming GSD 0.5m/px.,M1,
161,Count the storage tank in the image versus empty slots of storage tank in the image. Are empty slots equal to installed storage tanks?,M2,
162,"Identify every parked vehicle, classify each as sedan, SUV, or truck using detected regions.",D,
163,"How many houses are having pathway directly connected to the cul-de-sac, and how many parking spaces adjacent to these houses are occupied?",M2,
164,"Is tennis court closer to north side or south side zebra crossings, assuming GSD 0.8m/px.",M1,
165,"Detect the houses that are at the dead-end of the road. which house has no neighbour on the west side, draw box only on this house.",D,
166,"Detect any markings in the image and give information about the facility, is it tennis court or football stadium?",D,
167,Assume GSD is 0.7 m/px. Detect all houses in the image and compute their total built-up area in square meters versus the remaining open space in the 600x600 image.,M1,
168,Count empty versus occupied parking slots in the image.,M2,
169,How many cars on the road? Are there adjacent houses to that car within 80m radius (assume GSD 1px/meter).,M1+M2,
170,"Detect the houses with red rooftop. Using GSD 1.2m/px, calculate the area.",M1,
171,"Identify the house with above-ground pool in one backyard, is there any object present within 3m safety distance around the pool (assuming GSD 1m/px).",M1,
172,"Detect the swimming pool in the image, and estimate the distance from parked car assuming GSD 0.7 m/px.",M1,
173,"Analyze pedestrian connectivity around the intersection: determine the shortest distance to swimming pool accessibility, GSD 1m/px.",M1,
174,Are the two cars approaching zebra crossing maintaining the safe distance? Assume GSD is 0.5 px/m and threshold for 70mph is 63 meters.,M1,
175,"Detect the houses attached to zebra crossing-like structures, and how many of them have parked cars?",M2,
176,How many cars are in the image other than parking spaces? Do these cars are going in same direction?,D+M2,
177,"Detect the house with elongated white object behind the northwest house, and draw box over it.",D,
178,"Detect every above-ground swimming pool, infer its shape (rectangular, oval, or circular).",D,
179,"Locate all residential backyards that contain above-ground swimming pools, are they utilized at the moment?",D,
180,"Identify every circular storage tank in the compound, measure each tank's real-world diameter using the GSD (0.8m/px), and draw box around the largest tank.",D+M1,
181,"Identify and detect the two large circular storage tanks, measure their diameters using the GSD, assuming 0.6m/px",M1,
182,"What is the distance between the two detected storage tanks in the image, assuming a ground sampling distance (GSD) of 0.6 meters per pixel?",M1,
183,How many small-vehicles are within 20m radius of roundabout? (GSD=0.12756),M1+M2,
184,Is there any small-vehicle going towards northbound?,D,
185,Annotate the blue wing plane in the image?,D,
186,"Differentiate large-vehicle versus small-vehicle instances parked on the apron, then calculate the ratio of large to small vehicles and give the bar chart.",M2,
187,"How many cars are in the image, and what are the colors of each car?",D+M2,
188,"Calculate the centroid of every vehicle, compute distances in meters, identify pairs separated by less than 10m or not (gsd:0.133).",M1,
189,"Detect white plane, and estimate the orientation (nose-to-tail heading in degrees relative to the north).",D,
190,Detect the plane with blue fuselage.,D,
191,Is there any vehicle within 20 meter radius of red tail plane? (assuming GSD 0.8 m/px),M1,
192,"Detect airplanes, compute the straight line distance between their centroids in meters (assuming GSD 0.9 m/px).",M1,
193,Are both airplanes in the same direction?,D,
194,Are all the planes of same length?,D,
195,"Which airplane has different heading direction than others, draw box around it.",D,
196,Detect the smallest plane on the runway and draw a box on it.,D,
197,"Detect the largest plane on the runway, and estimate the orientation (tail-to-nose heading in degrees relative to the north).",D,
198,"Detect all planes and storage tanks, and plot the distribution?",M2,
199,"Detect all airplanes, compute the centroid of each, calculate pairwise distances in meters using GSD 0.9m/px, and plot the distribution.",M1,
200,"Detect the smallest baseball diamond, and draw box on it.",D,
201,Identify the baseball diamond in the image and analyze the region to determine if the proportion of dirt exceeds that of grass.,D,
202,What are the colors of all basketball court ground?,D,
203,Identify and localize each baseball diamond visible in the scene. Draw bounding boxes around them.,D,
204,Is the match going on in the soccer filed?,D,
205,Estimate the combined surface area of the basketball courts in square meter assuming 1.1m GSD.,M1,
206,Count red vehicle within a 50 m radius of the basketball courts using GSD 1.11,M1+M2,
207,Determine the orientation angle of basketball courts baseline relative to the north in degrees.,D,
208,"Are these basketball courts within 200m distance of each other, state distance, using GSD 1.4367?",M1,
209,"Detect tennis court and basketball court, Plot the distribution.",M2,
210,Is any of the basketball court occupied?,D,
211,Do both planes appear to be the same size in the aerial image?,D,
212,Detect the red car and draw box on it.,D,
213,How close are the basketball courts to each other? (GSD = 1.693 m/px),M1,
214,"Any visible sign or letter present inside the ground track field, and what is the color of the letter/sign?",D,
215,"Detect soccer ball fields and baseball diamonds, count each type, and plot a bar chart showing the number of each field.",M2,
216,"Detect all small vehicles and compute the ratio of their total area (using all bounding boxes, in square meter) to the area of the main parking lot (bbox: 1021, 26, 1764, 1501, gsd=0.12117843786m/pixel).",M1,
217,Draw a bounding box around the largest detected baseball diamond in the image.,D,
218,Locate the white storage tank and draw a bounding box around it.,D,
219,"Is a soccer ball field present in the image, and on which side of the image is it located?",D,
220,"Which category has the more count, soccerball-field or baseball diamond?",M2,
221,Count the number of large vehicles inside a 30m expanded region around the roundabout.,M2,
222,How many black cars (black small-vehicles) are located within a 10m radius of the roundabout?,M1+M2,
223,How many zebra crossings in the image and on which side of the roundabout are they located?,D+M2,
224,How many red cars are within 20 meters of the roundabout?,M1+M2,
225,Compute distance between detected ships (using 0.8 GSD).,M1,
226,"Detect the runway marking and the main airplane, and calculate the distance (in meters, GSD=0.8 m/px) between their centers.",M1,
227,Detect the ship closest to the airplane and draw a box on it.,D,
228,Detect ship near the land area and draw box on it.,D,
229,"By stating the type of the ship, please tell if they're identical in type?",D,
230,Estimate the orientation of ships with respect to the north side.,D,
231,Detect the ship with containers and draw a box on it.,D,
232,"Detect all vessels in the water, are they on same direction with respect to the north side?",D,
233,Detect total vehicles and are all the vehicles sedan type?,D+M2,
234,"Detect the car parked near the house, and draw box over it.",D,
235,"How many cars are in the image, and are all the detected cars the same color?",D+M2,
236,"Identify every vehicle, determine whether the dominant heading is northbound or southbound, and report the counts in each direction.",M2,
237,Detect the turning car and draw box on it.,D,
238,Count the number of cars visible on the lower road and compute the real-world distance in meters between the first (leftmost) and last (rightmost) car using GSD=0.5 m/px. Provide their bounding boxes.,D+M1+M2,
239,How many the white vehicles are there and are these vehicles in same direction?,D+M2,
240,"Detect the cars passing along the side of the building with HVAC units and vents, and draw boxes over them.",D,
241,Detect the cars on zebra crossing and draw box over each car.,D,
242,"How many zebra crossings are in the image, and count cars on each zebra crossing individually. And plot the distribution.",M2,
243,Detect red cars in the parking and also count the parking space including the occupied ones.,D+M2,
244,Locate and transcribe all text markings painted on the field's turf. Also explain the significance of the markings.,D,
245,"Locate anything written on the stadium, and what does the marking mean on the stadium?",D,
246,"Detect the ground track field, is it occupied or empty? And estimate the square meter area of the field, assuming GSD 0.9m/px.",D+M1,
247,"Locate anything written on the stadium, and does the stadium belong to football?",D,
248,Detect the baseball diamond near the track field stadium and draw box over it.,D,
249,"What is the exact wording, and orientation (degree from north) of the large field markings painted on the turf inside the central track?",D,
250,Measure the distance between baseball diamonds and track field in meters in the image.(GSD = 0.9),M1,
251,"How many baseball diamonds can you identify in this image, and how many currently have players on them?",M2,
252,"Using a scale of 0.139 m per pixel, determine the roundabout's real-world diameter (in metres) from the image and then calculate its total surface area (in square meters). Round both results to the nearest whole number.",M1,
253,How many entry roads feed into this roundabout?,M2,
254,"According to standard geometric design criteria (e.g. inscribed circle diameter), how would you classify this roundabout as mini, small, or large? Use a GSD of 0.1256 m/px.",M1,
255,Please describe the location of the red car in relation to the large house on the right.,D,
256,How many small vehicles are present within the circulatory roadway of the roundabout?,M2,
257,Identify the largest baseball fields and describe the orientation (north-south or east-west) of the home plate on the field.,D,
258,"Using a ground sampling distance (GSD) of 0.514 meters per pixel, compute the center to center distance in meters between tennis court and baseball diamond",M1,
259,How many commercial aircraft are currently parked at the main passenger terminal located at the bottom-center of the image?,M2,
260,"Using a ground sampling distance (GSD) of 0.522 meters per pixel, how many commercial aircraft are located within a 100-meter vicinity of the airplane with a yellow body?",M1+M2,
261,What is the type and function of ground support vehicle positioned closest to the aircraft with blue wings of the image?,D,
262,Calculate the combined area of tennis courts in square meters. Round the result to the nearest whole number. (gsd:0.141) (use bounding boxes for estimation),M1,
263,"What is the current compass direction of the sun, expressed using cardinal (North, South, East, West) and intercardinal (Northeast, Southeast, Southwest, Northwest) directions?",D,
264,"Utilizing the provided imagery (GSD: 0.1368 m), perform a spatial analysis to calculate the distance in meters between the two furthest tennis courts. Round the result to the nearest whole number.",M1,
265,"In this aerial image, how many beach-volleyball (sand) courts are visible?",M2,
266,how many cars are parked in parking lot at top left,M2,
267,How many total tennis courts are there and is the tennis court closest to parking area at top left occupied?,D+M2,
268,"Using the provided aerial image (GSD: 0.1402 meters per pixel), identify the largest tree by canopy size, determine its canopy diameter in meters(Round to the nearest whole number), and assess its overall health condition.",D+M1,
269,Can you identify the red aircraft sitting in the center of this airport apron? What type and model is it?,D,
270,How many airplanes are present on the large aircraft carrier visible in the harbor?,M2,
271,"Given a ground sample distance (GSD) of 0.2621 meters per pixel, estimate the length (in meters) of the longest ship present in the imagery. Assume that all ships are docked horizontally (aligned parallel to the x-axis). Round your final estimate to the nearest whole number.",M1,
272,Identify the aircraft located on the flight deck and determine its heading direction in degrees relative to north.,D,
273,"Identify the designated large parking area and specify its location within the scene (e.g., top-right, bottom-left, center). Then, assess its current occupancy level by categorizing it as: empty, nearly empty, moderately occupied, nearly full, or completely full.",D,
274,"Determine the length of the longest pier in meters rounded to a whole number, assuming all piers are aligned parallel to the x-axis. Use a ground sampling distance (GSD) of 0.1347 meters per pixel.",M1,
275,How many airplanes are there in the image and how many have a ground support vehicle positioned directly adjacent to them?,M2,
276,"Detect the helicopters in the aerial image, measure the pixel distance between them, and convert those distances to meters (rounded to integer) using a GSD of 0.14153 m/pixel.",M1,
277,"Count the number of aircraft visible, then label each aircraft with a unique ID number on the image.",M2,
278,"Identify and count all aircraft visible on the apron. Compute the pairwise center to center distances between each airplane in meters (rounded to whole number), using the 0.0917 m/pixel resolution.",M1+M2,
279,"How many aircraft are currently positioned near the main terminal building, and of those, how many are connected to a jet bridge?",M2,
280,"Identify the designated large parking lot area near the airport and evaluate its current occupancy level, categorizing it as completely full, nearly full, moderately occupied, nearly empty, or empty.",D,
281,"Based on this aerial image, what is the nose orientation or heading of the largest aircraft present in degrees from north?",D,
282,"Within this aerial image, describe the directional orientation (yaw/heading) of all plane instances?",D,
283,How many airplane instances have ground vehicles in close proximity?,M2,
284,"Determine the wingspan of the large airplane located at the top of the image, in meters, rounded to the nearest integer. Use a ground sampling distance (GSD) of 0.1405 meters per pixel.",M1,
285,"Could you identify the parking lot located south of the tennis courts and specify the directional orientation of its entrance using cardinal or intercardinal points (e.g., north, northwest, etc.)?",D,
286,"Is the parking area south of tennis courts fully visible or partially occluded in the given imagery, and can you provide a count of the parked vehicles present within the visible area?",D+M2,
287,"Given a ground sampling distance (GSD) of 0.1257 meters/pixel, determine the center-to-center distance (in meters, rounded to the nearest whole number) between the playground with blue slides and the nearest swimming pool.",M1,
288,"What is the total count of umbrellas that are both circular in canopy shape and predominantly green in color, located within the designated pool areas?",M2,
289,What is the count of dark-colored versus light-colored vehicles in the parking area located at the bottom right quadrant of the image?,M2,
290,What is the minimum number of ground crew required for all the airplanes in this image?,M2,
291,What type of track surface material is used in this facility and what are its advantages?,D,
292,What is the red rectangular area at the end of the field and what is it used for?,D,
293,Estimate the total width of track?,D,
294,Can you rate the condition of the swimming pools in this residential area?,D,
295,Describe shape of swimming pools in this image?,D,
296,How many cars are parked close to the large house at the top right of the image?,M2,
297,Identify the type and color of all visible cars in the image.,D,
298,Determine the number of lanes for all bridges in the image.,M2,
299,Are any vehicles travelling on the main highway?,D,
300,Count and list the human-made structures other than the roads and the vehicle?,M2,
301,How many empty airplane parking spots are there in the image?,M2,
302,Identify the type and color of all visible cars in the image.,D,
303,What is the name of the stadium shown in the image? Please provide a brief history of it.,D,
304,"What high school is associated with the football field shown, and can you provide a brief history of the school's athletic program?",D,
305,"Evaluate the distance of both garbage types to the big pond, classify them and assess which one is close to surface water. Assume GSD is 0.5 meters per pixel.",M1,
306,"Evaluate how close the domestic garbage site is to playgrounds and whether it violates safety thresholds (assume 50m), assume 0.5m gsd.",M1,
307,"Assess whether the construction waste is within wind-blown debris range of the near greenhouse area to the east (assuming above 50m moderate), with 0.5m gsd.",M1,
308,"Quantify the area covered by agricultural forestry land vs. domestic waste, and report the percentage balance, with 0.5m gsd.",M1,
309,"Determine if the domestic garbage is close enough to active crop zone in northeast to pose a contamination risk, assuming less than 50m is at high risk, with 0.5m gsd.",M1,
310,How many buildings are in between domestic and construction waste?,M2,
311,Detect the domestic garbage and draw box over it,D,
312,"Determine if the construction waste is close enough to soccer field to pose a contamination risk, assuming less than 50m is at high risk, with 0.5m gsd",M1,
313,"Detect construction waste in the given image and compute its distance from the road based on centroids, assuming 0.5m GSD.",M1,
314,Detect the construction waste and draw a bounding box over it.,D,
315,"Check if the garbage is dumped within an eco-sensitive agricultural zone (with a 50m buffer), assuming 0.5m GSD. If yes, then it is restricted for dumping.",M1,
316,Locate the garbage on the northwest side of the road and describe its type.,D,
317,Locate the construction waste on the east side of the road and draw a bounding box over it.,D,
318,"Detect construction waste and domestic garbage, and estimate their area ratio using 0.5m GSD.",M1,
319,Detect construction waste and estimate whether it affects tree growth in the surrounding area.,D,
320,"What is the distance between the domestic garbage and the waterbody (75,387) in the image, using 1 meter per pixel (GSD)?",M1,
321,Detect construction waste and estimate whether it severely affects tree growth in the area.,D,
322,Draw a bounding box over the domestic garbage in the image.,D,
323,Draw a bounding box over the domestic garbage in the image.,D,
324,Locate construction waste and estimate the total area it covers using 0.5 meters per pixel (GSD).,M1,
325,"Detect the domestic garbage and the nearest building structure in the image, and estimate the centroid-to-centroid distance between them assuming a GSD of 0.5 meters per pixel.",M1,
326,Locate the domestic garbage in the image and draw a labeled bounding box over it.,D,
327,"where is the domestic garbage located and determine if the domestic garbage is located very close to the road (within 5 meters), assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
328,"Estimate the straight-line distance between the domestic garbage region and the main road reference point (717, 642), assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
329,"Calculate the centroid-based distance between the construction waste region and the main road reference point (442, 352), assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
330,Detect construction waste and garbage waste and determine each of the waste average areas using 0.5m GSD.,M1,
331,"Detect the construction waste and calculate its area in square meters, assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
332,"Detect all domestic garbage regions and calculate their combined area in square meters, assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
333,"Detect both the domestic garbage and the bridge, and estimate the centroid-based distance between them in meters (assuming GSD = 0.5m/px).",M1,
334,"Detect the domestic garbage, all construction waste regions, and agriculture forestry, and compute the area in square meters for each using a ground sampling distance (GSD) of 0.5 m/px.",M1,
335,"In the post-disaster image, how many more destroyed buildings appear on the right half of the image than on the left, and what percentage of the total destroyed count does this difference represent?",M2,
336,Compute ratio of the destroyed buildings in post image to the total buildings in the post image. How many rescue teams are required if each team is responsible for three destroyed buildings?,M2,
337,"Which quadrant of the post-disaster image contains the most buildings that are *major-damage* or *destroyed*, and by how many does it exceed the quadrant with the next-highest count? Given: Image size 1024x1024.",M2,
338,"After the disaster, what is the ratio of completely destroyed to partially damaged (minor or major) buildings, and how many three-ton relief shipments are needed if each shipment can service five damaged structures?",M2,
339,What percentage of all buildings visible in pre-image were completely destroyed in the post-disaster image?,M2,
340,"In a post-disaster image, what is the average area of no-damage buildings and those that were destroyed? Given GSD=1.5 meters/pixel",M1,
341,"If one response team can process five destroyed buildings per day, how many teams are needed to clear all destroyed buildings in post image within seven days?",M2,
342,What percentage of buildings in the post image were completely destroyed compared to no-damage buildings?,M2,
343,How many completely destroyed buildings lie in the upper half of the image compared to those in the lower half?,M2,
344,"If a single response team can inspect 3 severely damaged sites per day, estimate how many days one team would need to cover all severely damaged buildings in this area.",M2,
345,Compute the percentage of the major-damage buildings in the post-event scene.,M2,
346,"Which quadrant of the monitored area contains the highest number of damaged structures after the event, and how many damaged structures does it hold? Given imagesize= 1024x1024",M2,
347,"What is the combined area, in square meters, of all buildings showing major damage in the post-disaster image? Given GSD=3.024613",M1,
348,"If one inspection team can survey five damaged buildings per day, how many teams are required to inspect every building flagged as damaged in the post-event image?",M2,
