task_id,image,query,type_annotator,notes
209,image/140.jpg,"Detect tennis court and basketball court, Plot the distribution.",M2,
210,image/145.jpg,Is any of the basketball court occupied?,D,
215,image/P0021.png,"Detect soccer ball fields and baseball diamonds, count each type, and plot a bar chart showing the number of each field.",M2,
216,image/P0021.png,"Detect all small vehicles and compute the ratio of their total area (using all bounding boxes, in square meter) to the area of the main parking lot (bbox: 1021, 26, 1764, 1501, gsd=0.12117843786m/pixel).",M1,
220,image/P00491.png,"Which category has the more count, soccerball-field or baseball diamond?",M2,
222,image/P0068.png,How many black cars (black small-vehicles) are located within a 10m radius of the roundabout?,M1+M2,
223,image/P0068.png,How many zebra crossings in the image and on which side of the roundabout are they located?,D+M2,
229,image/301.jpg,"By stating the type of the ship, please tell if they're identical in type?",D,
238,image/389.jpg,Count the number of cars visible on the lower road and compute the real-world distance in meters between the first (leftmost) and last (rightmost) car using GSD=0.5 m/px. Provide their bounding boxes.,D+M1+M2,
243,image/413.jpg,Detect red cars in the parking and also count the parking space including the occupied ones.,M2,
244,image/458.jpg,Locate and transcribe all text markings painted on the field's turf. Also explain the significance of the markings.,D,
270,image/P0259.png,How many airplanes are present on the large aircraft carrier visible in the harbor?,M2,
274,image/P0518.png,"Determine the length of the longest pier in meters rounded to a whole number, assuming all piers are aligned parallel to the x-axis. Use a ground sampling distance (GSD) of 0.1347 meters per pixel.",M1,
284,image/P1492.png,"Determine the wingspan of the large airplane located at the top of the image, in meters, rounded to the nearest integer. Use a ground sampling distance (GSD) of 0.1405 meters per pixel.",M1,
287,image/P0660.png,"Given a ground sampling distance (GSD) of 0.1257 meters/pixel, determine the center-to-center distance (in meters, rounded to the nearest whole number) between the playground with blue slides and the nearest swimming pool.",M1,
292,image/ground5.jpg,What is the red rectangular area at the end of the field and what is it used for?,D,
295,image/residencial1.jpg,Describe shape of swimming pools in this image?,D,
297,image/residencial4.jpg,Identify the type and color of all visible cars in the image.,D,
312,image/40015.jpg,"Determine if the construction waste is close enough to soccer field to pose a contamination risk, assuming less than 50m is at high risk, with 0.5m gsd",M1,
314,image/40025.jpg,Detect the construction waste and draw a bounding box over it.,D,
318,image/40115.jpg,"Detect construction waste and domestic garbage, and estimate their area ratio using 0.5m GSD.",M1,
322,image/NI5788.jpg,Draw a bounding box over the domestic garbage in the image.,D,
326,image/40040.jpg,Locate the domestic garbage in the image and draw a labeled bounding box over it.,D,
329,image/40106.jpg,"Calculate the centroid-based distance between the construction waste region and the main road reference point (442, 352), assuming a ground sampling distance (GSD) of 0.5 meters per pixel.",M1,
330,image/40115.jpg,Detect construction waste and garbage waste and determine each of the waste average areas using 0.5m GSD.,M1,
334,image/NI4401.jpg,"Detect the domestic garbage, all construction waste regions, and agriculture forestry, and compute the area in square meters for each using a ground sampling distance (GSD) of 0.5 m/px.",M1,
346,image/hurricane-harvey_00000326_post_disaster.png,"Which quadrant of the monitored area contains the highest number of damaged structures after the event, and how many damaged structures does it hold? Given imagesize= 1024x1024",M2,
347,image/hurricane-harvey_00000326_pre_disaster.png,"What is the combined area, in square meters, of all buildings showing major damage in the post-disaster image? Given GSD=3.024613",M1,
348,image/hurricane-harvey_00000326_pre_disaster.png,"If one inspection team can survey five damaged buildings per day, how many teams are required to inspect every building flagged as damaged in the post-event image?",M2,
351,image/santa-rosa-wildfire_00000181_pre_disaster.png,Provide the bounding boxes of all fully destroyed buildings and compute their combined footprint area in square meters. Given GSD=1.8769937,D+M1,
352,image/santa-rosa-wildfire_00000181_pre_disaster.png,"Count the no-damage and destroyed buildings? and if each rescue unit can inspect ten damaged buildings, how many units are needed to cover all destroyed structures?",M2,
354,image/palu-tsunami_00000032_pre_disaster.png,Count number of destroyed buildings in the post disaster image.,M2,
357,image/santa-rosa-wildfire_00000206_pre_disaster.png,"Determine how many buildings remain intact in the post-event image, compare that to the total number of buildings detected in the pre-event image, and express the result as a simplified fraction.",M2,
359,image/hurricane-harvey_00000504_pre_disaster.png,"How many buildings are classified as destroyed in the post-event image, and what is the ratio of destroyed buildings to the total number of buildings?",M2,
366,image/guatemala-volcano_00000003_pre_disaster.png,"By summing their ground area, which group covers more area: completely destroyed buildings region or those of minor-damage building region? Given GSD=1.4085245",M1,
370,image/santa-rosa-wildfire_00000273_pre_disaster.png,"In post image, how many buildings were destroyed by the wildfire compared to the pre image? If each destroyed building requires 50 labor-hours for inspection, estimate the total labor-hours needed for post-disaster building inspections.",M2,
388,image/hurricane-florence_00000268_pre_disaster.png,What is the ratio of buildings with minor damage to those with major damage in the post-event image?,M2,
394,image/santa-rosa-wildfire_00000113_pre_disaster.png,What is the average ground-area in square meters lost for each structure that was classified as completely destroyed? Given GSD=1.8769937,M1,
396,image/santa-rosa-wildfire_00000113_pre_disaster.png,"When the scene is divided into four equal quadrants, which quadrant experienced the highest count of destroyed buildings and what is that count? Given: Imagesize=1024x1024",M2,
400,image/P0075.png,"First, segment the road roundabout to get its pixel count. Then convert that pixel count into an area in square meters using a ground sampling distance of 0.139152881468 m/pixel. From the obtained area, calculate radius of a circle.",M1,
402,image/P0075.png,"Segment the road roundabout and obtain its total pixel count. Using a GSD of 0.139152881468 m/pixel, calculate its radius in meters. Then determine how many pixels would cover the same circular area if the GSD were halved.",M1,
434,image/P1099.png,"Segment all vehicles, convert its total pixel area to m-sq (GSD = 0.1393 m/px)",M1,
